close,net_change,date
6594.44154248,-281.40,2009-03-05 00:00:00.0
6626.93785444,32.50,2009-03-06 00:00:00.0
6547.05108752,-79.89,2009-03-09 00:00:00.0
6926.49331844,379.44,2009-03-10 00:00:00.0
6930.39606179,3.90,2009-03-11 00:00:00.0
7170.05636254,239.66,2009-03-12 00:00:00.0
7223.97793902,53.92,2009-03-13 00:00:00.0
7216.96893056,-7.01,2009-03-16 00:00:00.0
7395.69864638,178.73,2009-03-17 00:00:00.0
7486.57681293,90.88,2009-03-18 00:00:00.0
7400.79610708,-85.78,2009-03-19 00:00:00.0
7278.37740243,-122.42,2009-03-20 00:00:00.0
7775.8577077,497.48,2009-03-23 00:00:00.0
7659.97012458,-115.89,2009-03-24 00:00:00.0
7749.81286943,89.84,2009-03-25 00:00:00.0
7924.56019408,174.75,2009-03-26 00:00:00.0
7776.17629899,-148.38,2009-03-27 00:00:00.0
7522.02009437,-254.16,2009-03-30 00:00:00.0
7608.91586975,86.90,2009-03-31 00:00:00.0
7761.6007473,152.68,2009-04-01 00:00:00.0
7978.08353144,216.48,2009-04-02 00:00:00.0
8017.58885187,39.51,2009-04-03 00:00:00.0
7975.85339238,-41.74,2009-04-06 00:00:00.0
7789.55713333,-186.30,2009-04-07 00:00:00.0
7837.10688393,47.55,2009-04-08 00:00:00.0
8083.37795404,246.27,2009-04-09 00:00:00.0
8057.81100271,-25.57,2009-04-13 00:00:00.0
7920.17956379,-137.63,2009-04-14 00:00:00.0
8029.61567321,109.44,2009-04-15 00:00:00.0
8125.43200482,95.82,2009-04-16 00:00:00.0
8131.32594375,5.89,2009-04-17 00:00:00.0
7841.72645769,-289.60,2009-04-20 00:00:00.0
7969.56121433,127.83,2009-04-21 00:00:00.0
7886.56818229,-82.99,2009-04-22 00:00:00.0
7957.05650605,70.49,2009-04-23 00:00:00.0
8076.28929775,119.23,2009-04-24 00:00:00.0
8024.99609945,-51.29,2009-04-27 00:00:00.0
8016.95166928,-8.04,2009-04-28 00:00:00.0
8185.72540717,168.77,2009-04-29 00:00:00.0
8168.12323819,-17.60,2009-04-30 00:00:00.0
8212.40742802,44.28,2009-05-01 00:00:00.0
8426.73972093,214.33,2009-05-04 00:00:00.0
8410.65086059,-16.09,2009-05-05 00:00:00.0
8512.28148331,101.63,2009-05-06 00:00:00.0
8409.85438235,-102.43,2009-05-07 00:00:00.0
8574.64572907,164.79,2009-05-08 00:00:00.0
8418.77493858,-155.87,2009-05-11 00:00:00.0
8469.112363,50.34,2009-05-12 00:00:00.0
8284.88694736,-184.23,2009-05-13 00:00:00.0
8331.32162843,46.43,2009-05-14 00:00:00.0
8268.63879138,-62.68,2009-05-15 00:00:00.0
8504.07775749,235.44,2009-05-18 00:00:00.0
8474.84700629,-29.23,2009-05-19 00:00:00.0
8422.04049934,-52.81,2009-05-20 00:00:00.0
8292.1348993,-129.91,2009-05-21 00:00:00.0
8277.32040414,-14.81,2009-05-22 00:00:00.0
8473.49299329,196.17,2009-05-26 00:00:00.0
8300.02003382,-173.47,2009-05-27 00:00:00.0
8403.80114777,103.78,2009-05-28 00:00:00.0
8500.33430979,96.53,2009-05-29 00:00:00.0
8721.43666769,221.10,2009-06-01 00:00:00.0
8740.87073661,19.43,2009-06-02 00:00:00.0
8675.280754,-65.59,2009-06-03 00:00:00.0
8750.23732065,74.96,2009-06-04 00:00:00.0
8763.13230326,12.90,2009-06-05 00:00:00.0
8764.49266121,1.36,2009-06-08 00:00:00.0
8763.05673877,-1.44,2009-06-09 00:00:00.0
8739.02393173,-24.03,2009-06-10 00:00:00.0
8770.91652473,31.89,2009-06-11 00:00:00.0
8799.25709908,28.34,2009-06-12 00:00:00.0
8612.1337335,-187.12,2009-06-15 00:00:00.0
8504.66627557,-107.47,2009-06-16 00:00:00.0
